CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
172973895,40,BRONX,01/01/2015,00:01:00,12/31/2016,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,01/07/2020,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1004926,234532,40.81039601900005,-73.92531074499993,"(40.81039601900005, -73.92531074499993)"
954680514,122,STATEN ISLAND,01/01/2015,00:00:00,05/05/2017,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO STATEN ISLAND,168,SODOMY 1,DOCTOR/DENTIST OFFICE,02/13/2020,,45-64,BLACK HISPANIC,M,,<18,WHITE,F,954943,148360,40.573849649000074,-74.10549615599997,"(40.573849649000074, -74.10549615599997)"
857809698,44,BRONX,01/01/2015,01:11:00,02/22/2020,17:15:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/22/2020,,,,,,45-64,WHITE HISPANIC,F,1006536,241720,40.830121132000045,-73.91947085699996,"(40.830121132000045, -73.91947085699996)"
457817423,14,MANHATTAN,01/04/2015,17:00:00,02/18/2020,16:27:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/18/2020,,,,,,45-64,UNKNOWN,M,985821,211959,40.74846314200005,-73.99433158899996,"(40.74846314200005, -73.99433158899996)"
111333425,113,QUEENS,01/24/2015,15:00:00,01/24/2020,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,02/13/2020,,,,,,25-44,BLACK,F,1048773,194414,40.70007128000003,-73.76730177499996,"(40.70007128000003, -73.76730177499996)"
602478990,77,BROOKLYN,01/30/2015,00:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,01/30/2020,,UNKNOWN,UNKNOWN,M,,<18,UNKNOWN,F,1003606,185050,40.67458330800008,-73.93022154099998,"(40.67458330800008, -73.93022154099998)"
570931680,68,BROOKLYN,02/04/2015,07:00:00,05/30/2018,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/01/2020,,,,,,25-44,WHITE,M,976004,166301,40.62313867800003,-74.02970600399993,"(40.62313867800003, -74.02970600399993)"
720125000,24,MANHATTAN,02/09/2015,00:01:00,08/21/2018,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/21/2020,,UNKNOWN,UNKNOWN,U,,65+,WHITE HISPANIC,M,991223,228937,40.79506071600008,-73.97481774599999,"(40.79506071600008, -73.97481774599999)"
793323896,23,MANHATTAN,02/15/2015,16:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,02/15/2020,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,998730,226827,40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)"
615925084,110,QUEENS,02/23/2015,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,03/13/2020,,,,,,18-24,WHITE HISPANIC,F,1024007,209834,40.742541328000065,-73.85652809199998,"(40.742541328000065, -73.85652809199998)"
