Complaint ID,Borough,Complaint Date,Latitude,Longitude,Neighborhood
172973895,BRONX,01/01/2015,40.81039601900005,-73.92531074499993,Mott Haven
954680514,STATEN ISLAND,01/01/2015,40.573849649000074,-74.10549615599997,Grant City
857809698,BRONX,01/01/2015,40.830121132000045,-73.91947085699995,Concourse
457817423,MANHATTAN,01/04/2015,40.74846314200005,-73.99433158899996,Flatiron District
111333425,QUEENS,01/24/2015,40.70007128000003,-73.76730177499995,Hollis
602478990,BROOKLYN,01/30/2015,40.67458330800008,-73.93022154099998,Crown Heights
570931680,BROOKLYN,02/04/2015,40.62313867800003,-74.02970600399993,Bay Ridge
720125000,MANHATTAN,02/09/2015,40.79506071600008,-73.97481774599999,Upper West Side
793323896,MANHATTAN,02/15/2015,40.78926022400003,-73.94771000099996,East Harlem
615925084,QUEENS,02/23/2015,40.742541328000065,-73.85652809199999,Corona
874584576,MANHATTAN,03/01/2015,40.761018860000036,-73.95947832099995,Upper East Side
857835205,QUEENS,03/01/2015,40.77598847900003,-73.91048100999996,Astoria
428046174,BROOKLYN,03/05/2015,40.65547056500003,-73.95634563799997,Prospect Lefferts Gardens
512003955,BROOKLYN,03/21/2015,40.61797007100006,-74.03033045599993,Fort Hamilton
334876667,BROOKLYN,03/22/2015,40.69454259200006,-73.92906831899995,Bushwick
658828682,MANHATTAN,03/23/2015,40.72488559100003,-74.00772574599996,SoHo
378856394,STATEN ISLAND,03/25/2015,40.64472613100002,-74.07748315899995,St. George
966322603,QUEENS,04/09/2015,40.71866166700005,-73.78867247999993,Jamaica Estates
173294208,MANHATTAN,04/17/2015,40.82418538600007,-73.93913376299997,Harlem
714094483,MANHATTAN,05/11/2015,40.76490876100007,-73.94737895099996,Roosevelt Island
721132645,BROOKLYN,05/27/2015,40.650564933000055,-73.93705420299993,East Flatbush
121753355,BRONX,06/06/2015,40.822917274000076,-73.86717247799999,Soundview
587508341,BRONX,07/01/2015,40.81039601900005,-73.92531074499993,Mott Haven
549466080,BRONX,07/23/2015,40.816391847000034,-73.89529641399997,Longwood
904174327,STATEN ISLAND,08/01/2015,40.592748045000064,-74.18539957099993,Chelsea-Travis
879645250,MANHATTAN,08/31/2015,40.72655401900005,-73.98782842699995,East Village
469242889,BROOKLYN,09/01/2015,40.67110691100004,-73.88143295699997,East New York
297178485,MANHATTAN,09/01/2015,40.782799975000046,-73.94962887099996,Upper East Side
839930463,BROOKLYN,09/05/2015,40.67110691100004,-73.88143295699997,East New York
215515385,BROOKLYN,09/14/2015,40.63331276900004,-73.93998157799997,East Flatbush
318582322,BROOKLYN,09/20/2015,40.72688262400004,-73.95287134799997,Greenpoint
490688699,QUEENS,10/01/2015,40.748030681000046,-73.74903478699997,Oakland Gardens
103720654,MANHATTAN,11/21/2015,40.800694331000045,-73.94110928599997,East Harlem
386725930,BROOKLYN,12/01/2015,40.63036654500007,-73.97371261299999,Kensington
194386169,BROOKLYN,12/28/2015,40.68387905700007,-74.00032594799995,Carroll Gardens
217899242,QUEENS,01/01/2016,40.72236368700004,-73.85147389399998,Forest Hills
339708486,QUEENS,01/01/2016,40.754652349000025,-73.86903389999998,Corona
958085293,BRONX,01/01/2016,40.85616295700004,-73.84439712399995,Morris Park
779694042,BRONX,01/01/2016,40.84390125500005,-73.900504632,South Bronx
987947861,QUEENS,01/01/2016,40.70426739000004,-73.89355375999997,Ridgewood
939675075,MANHATTAN,01/01/2016,40.764818269000045,-73.98518977299993,Columbus Circle
944247360,BRONX,01/03/2016,40.86905853200005,-73.87963014799993,Norwood
544821379,BROOKLYN,01/07/2016,40.63295606400004,-73.94574282499997,Flatbush
542204620,QUEENS,01/11/2016,40.74525274100006,-73.87006286999997,Elmhurst
690820784,BROOKLYN,01/11/2016,40.65769795200004,-73.94096520299998,Wingate
560656019,BROOKLYN,01/12/2016,40.713619451000056,-73.96727702199999,Williamsburg
804261939,BRONX,01/16/2016,40.86905853200005,-73.87963014799993,Norwood
339221533,BROOKLYN,01/20/2016,40.65407147900004,-73.95138028299993,Flatbush
562697319,MANHATTAN,02/09/2016,40.75865301700002,-73.98134327899999,Midtown
982309667,QUEENS,02/16/2016,40.73285577700005,-73.86388448799994,Rego Park
848228514,BRONX,02/26/2016,40.82310129900002,-73.86969046099993,Soundview
377330680,BRONX,03/01/2016,40.88745131300004,-73.84760778699997,Williamsbridge
885793834,MANHATTAN,03/01/2016,40.736698070000045,-73.98331602599995,Gramercy
833954372,BRONX,03/10/2016,40.82567861800004,-73.90648654099994,South Bronx
993092390,BROOKLYN,03/15/2016,40.679777141000045,-73.93141669199997,Bedford Stuyvesant
915454385,BRONX,03/24/2016,40.83732351100008,-73.91983075699994,Concourse
161586290,BROOKLYN,04/01/2016,40.59414516900005,-73.96041495199995,Homecrest
487346031,MANHATTAN,04/01/2016,40.77925270900005,-73.96104150999997,Upper East Side
573213040,BROOKLYN,04/01/2016,40.68387905700007,-74.00032594799995,Carroll Gardens
222708217,BROOKLYN,04/18/2016,40.66278763500002,-73.86892590399998,East New York
943628380,BROOKLYN,04/28/2016,40.672786795000036,-73.86647288899997,East New York
110196685,BROOKLYN,05/01/2016,40.672089966000044,-73.89015518099995,East New York
925907065,QUEENS,06/11/2016,40.60295159100008,-73.74997626099997,Far Rockaway
163782558,MANHATTAN,06/25/2016,40.75979390100008,-73.97628939399993,Midtown
